Question,Answer
['loan'],"['loan', 'sum', 'money', 'borrowed', 'lender', 'expected', 'paid', 'back', 'interest']"
"['type', 'loan', 'available']","['common', 'type', 'include', 'personal', 'loan', 'auto', 'loan', 'mortgage', 'loan', 'student', 'loan', 'business', 'loan']"
"['apply', 'loan']","['apply', 'loan', 'online', 'bank', 'financial', 'institution', 'providing', 'necessary', 'documentation']"
"['difference', 'secured', 'unsecured', 'loan']","['secured', 'loan', 'require', 'collateral', 'unsecured', 'loan', 'based', 'creditworthiness']"
['collateral'],"['collateral', 'asset', 'pledged', 'borrower', 'secure', 'loan', 'lender', 'claim', 'loan', 'repaid']"
"['interest', 'rate']","['interest', 'rate', 'cost', 'borrowing', 'money', 'expressed', 'percentage', 'loan', 'amount']"
"['interest', 'calculated', 'loan']","['interest', 'calculated', 'using', 'simple', 'interest', 'compound', 'interest', 'method', 'depending', 'loan', 'agreement']"
"['apr', 'stand', 'for']","['apr', 'stand', 'annual', 'percentage', 'rate', 'includes', 'interest', 'rate', 'plus', 'fee', 'associated', 'loan']"
"['long', 'take', 'get', 'approved', 'loan']","['approval', 'time', 'vary', 'minute', 'several', 'day', 'depending', 'lender', 'type', 'loan']"
"['negotiate', 'loan', 'interest', 'rate']","['yes', 'lender', 'may', 'willing', 'negotiate', 'interest', 'rate', 'based', 'creditworthiness']"
"['factor', 'affect', 'loan', 'eligibility']","['key', 'factor', 'include', 'credit', 'score', 'income', 'debttoincome', 'ratio', 'employment', 'history']"
"['document', 'need', 'apply', 'loan']","['common', 'document', 'include', 'proof', 'income', 'credit', 'history', 'identification', 'collateral', 'documentation']"
"['credit', 'score']","['credit', 'score', 'numerical', 'representation', 'creditworthiness', 'influencing', 'ability', 'get', 'loan']"
"['improve', 'credit', 'score', 'applying', 'loan']","['pay', 'debt', 'make', 'payment', 'time', 'avoid', 'new', 'credit', 'inquiry', 'check', 'credit', 'report', 'error']"
"['need', 'cosigner', 'loan']","['cosigner', 'may', 'required', 'low', 'credit', 'score', 'insufficient', 'income', 'qualify', 'own']"
"['loan', 'repayment', 'work']","['loan', 'repayment', 'involves', 'making', 'regular', 'payment', 'set', 'period', 'includes', 'principal', 'interest']"
"['happens', 'miss', 'loan', 'payment']","['missing', 'payment', 'result', 'late', 'fee', 'increased', 'interest', 'rate', 'damage', 'credit', 'score']"
