,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Risk_bad,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
0,67,2,7.063903961472068,6,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
1,22,2,8.691314551644853,48,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
2,49,1,7.647786045440933,12,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
3,45,2,8.97233695775495,42,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4,53,2,8.490849216076635,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
5,35,1,9.111072370317514,36,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
6,53,2,7.949797216161852,24,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
7,35,3,8.846209127360996,36,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
8,61,1,8.025843344150903,12,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True
9,28,3,8.562931083090092,30,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
10,25,2,7.166265974133638,12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
11,24,2,8.36822903827628,48,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
12,22,2,7.356918242356021,12,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
13,60,1,7.089243155027514,24,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
14,28,2,7.246368080102461,15,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
15,32,1,7.156176637480615,24,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
16,53,2,7.793174347189205,24,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
17,25,2,8.996156562033445,30,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
18,44,3,9.439784035838873,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
19,31,2,8.140315540159985,24,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False
20,48,2,7.665753431861699,9,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
21,44,2,7.881182202227102,6,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
22,48,1,7.714677473800927,10,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
23,44,2,7.4977617006225685,12,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False
24,26,2,7.634820677745543,10,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
25,36,1,7.2254814727822945,6,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
26,39,1,6.054439346269371,6,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
27,42,2,6.013715156042802,12,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
28,34,2,7.789454566086673,7,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
29,63,2,8.829958044235482,60,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
30,36,2,7.556427969440253,18,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
31,27,2,8.299037181613066,24,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
32,30,2,8.676928249537397,18,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
33,57,1,7.142036574706803,12,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
34,33,3,7.295735072749282,12,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
35,25,1,8.465057436995709,45,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False
36,31,2,8.71768205216564,48,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
37,37,2,7.649692623711514,18,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
38,37,2,7.110696122978827,10,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
39,24,2,6.126869184114185,9,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
40,30,3,7.75491027202143,30,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False
41,26,2,7.05444965813294,12,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False
42,44,1,8.73294952429643,18,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
43,24,2,8.73020559553099,30,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
44,58,1,8.723068501163928,48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
45,35,3,7.239214973779806,11,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
46,39,2,7.740229524763182,36,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
47,23,0,7.20934025660291,6,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
48,39,1,8.885717651712119,11,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
49,28,2,7.636752112435779,12,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
